Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
PRINCIPAL SOFTWARE DEVELOPER,OPENTEXT,"WATERLOO, ON",84110.0,106502.0,2023-10-04,2023-10-04
"EDUCATIONAL DEVELOPER, INDIGENOUS KNOWLEDGES",UNIVERSITY OF WATERLOO,"WATERLOO, ON",70507.0,89278.0,2023-10-04,2023-10-04
SENIOR SOFTWARE ENGINEER – PLATFORM,MAGNET FORENSICS,"WATERLOO, ON",102176.0,129378.0,2023-10-04,2023-10-04
PRINCIPAL IT SOFTWARE ENGINEER,OPENTEXT,"WATERLOO, ON",90589.0,114706.0,2023-10-04,2023-12-07
CONTROL SYSTEMS SOFTWARE DESIGNER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",62955.0,79715.0,2023-10-04,2023-10-04
HEALTH RECORDS TECH CODER,GRAND RIVER HOSPITAL,"KITCHENER, ON",46065.0,58328.0,2023-10-04,2023-12-07
"DEVELOPER, POWER PLATFORM",ADDENDA CAPITAL,"GUELPH, ON",69047.0,87428.0,2023-10-04,2023-10-04
JR. APPLICATION DEVELOPER,THE JUDGE GROUP,"ELMIRA, ON",,,2023-10-04,2023-10-04
SENIOR CLOUD SECURITY OPERATIONS ENGINEER - REMOTE,REVVITY,"GUELPH, ON",118613.0,150190.0,2023-10-04,2023-10-04
EMPLOYMENT COUNSELLOR/JOB DEVELOPER,2ND CHANCE EMPLOYMENT COUNSELLING,"FERGUS, ON",,,2023-10-04,2023-10-04
SENIOR TEST AUTOMATION DEVELOPER,LOGISENSE CORPORATION,"KITCHENER, ON",106510.0,134865.0,2023-10-04,2023-10-04
SOFTWARE DEVELOPER LICENSING TEAM,MAGNET FORENSICS,"WATERLOO, ON",89397.0,113197.0,2023-10-04,2023-10-04
SENIOR SOLUTION ARCHITECT (HYBRID CLOUD),BMO FINANCIAL GROUP,VARIOUS LOCATIONS,99502.0,125992.0,2023-10-04,2023-10-04
"LEAD DEVELOPER/TEAM LEAD - MS STACK (DYNAMICS, POWER PLATFORM)",MAYK IDEAS,"KITCHENER, ON",80581.0,102034.0,2023-10-04,2023-10-04
MASTER DATA MANAGEMENT - DATA/PROCESS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",86934.0,110077.0,2023-10-04,2023-12-07
FPGA DEVELOPER,CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",82333.0,104252.0,2023-10-04,2023-10-04
UNREAL ENGINE C++ DEVELOPER II - SDK,MAWARI,"WATERLOO, ON",95624.0,121082.0,2023-10-04,2023-12-07
SOFTWARE DEVELOPER,MAGNET FORENSICS,"WATERLOO, ON",74485.0,94315.0,2023-10-04,2023-10-04
SENIOR DEV SEC OPS SPECIALIST,BLACKBERRY,"WATERLOO, ON",94278.0,119377.0,2023-10-04,2023-10-04
SENIOR SOFTWARE DEVELOPER,MAGNET FORENSICS,"WATERLOO, ON",92563.0,117205.0,2023-10-04,2023-10-04
CNC PROGRAMMER,AVERSAN,"WATERLOO, ON",70211.0,88903.0,2023-10-04,2023-10-04
BUSINESS DEVELOPMENT SPECIALIST,BICDROID INC.,"WATERLOO, ON",64477.0,81642.0,2023-10-04,2023-12-07
CNC PROGRAMMER,CHERVIN,"ST. CLEMENTS, ON",43003.0,54452.0,2023-10-04,2023-10-04
2024 RESEARCH SCIENTIST AT PERIMETER INSTITUTE (CHORD RADIO TELESCOPE),PERIMETER INSTITUTE FOR THEORETICAL PHYSICS,"WATERLOO, ON",,,2023-10-04,2023-10-04
SR. PRINCIPAL SOFTWARE ARCHITECT,OPEN TEXT CORPORATION,"WATERLOO, ON",111782.0,141540.0,2023-10-04,2023-10-04
RF DEVELOPER,SONOVA,"KITCHENER, ON",63991.0,81027.0,2023-10-04,2023-10-04
CUSTOMER SUPPORT REPRESENTATIVE,OPENTEXT,"WATERLOO, ON",39388.0,49875.0,2023-10-04,2023-10-04
ASSOCIATE PRODUCT SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",52799.0,66856.0,2023-10-04,2023-12-07
LEAD NETWORK ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",91271.0,115569.0,2023-10-04,2023-10-04
PRINCIPAL IT SOFTWARE ENGINEER,OPEN TEXT CORPORATION,"WATERLOO, ON",90589.0,114706.0,2023-10-04,2023-12-07
SENIOR MOBILE DEVELOPER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-04
"MANAGER, SOFTWARE DEVELOPMENT",D2L,"KITCHENER, ON",102763.0,130122.0,2023-10-04,2023-10-04
SENIOR CLOUD ENGINEER,ONTARIO HEALTH,VARIOUS LOCATIONS,92823.0,117535.0,2023-10-04,2023-10-04
SENIOR DEVOPS ENGINEER,ISG SEARCH INC,VARIOUS LOCATIONS,98974.0,125323.0,2023-10-04,2023-10-04
SENIOR INDUSTRIAL SIMULATION DEVELOPER,CLEARPATH INC.,"KITCHENER, ON",87699.0,111046.0,2023-10-04,2023-10-04
BUSINESS DEVELOPMENT MANAGER,MEDA,"WATERLOO, ON",79422.0,100566.0,2023-10-04,2023-12-07
CNC 5TH AXIS MACHINIST/PROGRAMMER,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-12-07
SOFTWARE ENGINEER – DEVOPS,MAGNET FORENSICS,"WATERLOO, ON",81036.0,102610.0,2023-10-04,2023-10-04
SENIOR PRODUCT SECURITY & CLOUD SECURITY ENGINEER,SIEMENS,"KITCHENER, ON",101415.0,128414.0,2023-10-04,2023-10-04
"SENIOR TEAM LEAD, SOFTWARE DEVELOPMENT",GEOTAB,"WATERLOO, ON",107422.0,136020.0,2023-10-04,2023-10-04
SENIOR CLOUD ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-04
SR. SOFTWARE DEVELOPER- SHORT-TERM CONTRACT,APPLYBOARD,"KITCHENER, ON",77458.0,98079.0,2023-10-04,2023-10-04
TEMENOS T24 DEVELOPER (REMOTE),HVN SOLUTIONS,"WATERLOO, ON",106539.0,134902.0,2023-10-04,2023-12-07
SENIOR TECHNICAL PROGRAM MANAGER,SIEMENS,"KITCHENER, ON",108182.0,136983.0,2023-10-04,2023-10-04
SR. PRINCIPAL SOFTWARE ARCHITECT,OPENTEXT,"WATERLOO, ON",111782.0,141540.0,2023-10-04,2023-10-04
COMPUTER NUMERICAL CONTROL (CNC) MASTERCAM PROGRAMMER,HJ MACHINE & PATTERN 2016 LTD,"WATERLOO, ON",,,2023-10-04,2023-10-04
SENIOR CONTROLS SYSTEM SOFTWARE DESIGNER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",71279.0,90255.0,2023-10-04,2023-10-04
SENIOR ASP.NET APPLICATION DEVELOPER,RKD WEB STUDIOS,"GUELPH, ON",72638.0,91976.0,2023-10-04,2023-12-07
"SENIOR .NET FULL STACK DEVELOPER (ONSITE CAMBRIDGE, ON)",VECTORVUE,"KITCHENER, ON",,,2023-10-04,2023-10-04
CNC LATHE MACHINIST/PROGRAMMER,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-12-07
CONTROLS SYSTEM SOFTWARE DESIGNER- SENIOR,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",73339.0,92863.0,2023-10-04,2023-10-04
ELECTRICAL/CONTROLS DEVELOPER,ISN TECHNOLOGIES,"WATERLOO, ON",75447.0,95532.0,2023-10-04,2023-12-07
SENIOR/INTERMEDIATE UNIX/LINUX DEVELOPER,BICDROID INC.,"WATERLOO, ON",74269.0,94042.0,2023-10-04,2023-12-07
CNC PROGRAMMING SPECIALIST,IN-HOUSE SOLUTIONS,"KITCHENER, ON",75093.0,95084.0,2023-10-04,2023-10-04
SR. SITE RELIABILITY ADMINISTRATOR,OPENTEXT,"WATERLOO, ON",97291.0,123192.0,2023-10-04,2023-12-07
MONITORING TOOLS SPECIALIST (SITESCOPE+),OPENTEXT,"WATERLOO, ON",58861.0,74531.0,2023-10-04,2023-10-04
LEAD EMBEDDED SOFTWARE DEVELOPER,MOLEX,"WATERLOO, ON",102585.0,129896.0,2023-10-04,2023-12-07
"CHIEF ARCHITECT, CLOUD & CYBERSECURITY","CANON MEDICAL INFORMATICS, INC.","WATERLOO, ON",77166.0,97710.0,2023-10-04,2023-10-04
"SR. DIRECTOR, IT PMO",OPENTEXT,"WATERLOO, ON",108651.0,137576.0,2023-10-04,2023-10-04
COMPUTER PROGRAMMING - SUBJECT MATTER EXPERT (SME),ROBERTSON COLLEGE,VARIOUS LOCATIONS,72580.0,91903.0,2023-10-04,2023-10-04
LEAD SOFTWARE ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-04
PRINCIPAL NETWORK SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",76996.0,97494.0,2023-10-04,2023-10-04
STAFF PERCEPTION DEVELOPER - LOCALIZATION AND MAPPING,CLEARPATH INC.,"KITCHENER, ON",99096.0,125478.0,2023-10-04,2023-10-04
"ADVISOR, BUSINESS DEVELOPMENT (UNIVERSITY OF WATERLOO)",MITACS,"WATERLOO, ON",83063.0,105177.0,2023-10-04,2023-12-07
STAFF SOFTWARE DEVELOPER (FLEET MANAGER),CLEARPATH INC.,"KITCHENER, ON",110029.0,139321.0,2023-10-04,2023-10-04
SR. SOFTWARE ENGINEER-ZUORA ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",85653.0,108456.0,2023-10-04,2023-10-04
LEAD SYSTEMS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",92034.0,116535.0,2023-10-04,2023-10-04
