Job Title,Company,Location,Estimated Salary
Senior Benefits Specialist,Open Text Corporation,"— Waterloo, ON","Estimated: $71,081 - $90,004 a year"
CNC Programmer,Héroux-Devtek Inc.,"— Kitchener, ON","Estimated: $60,055 - $76,043 a year"
Senior/Principal Backend Software Engineer - Data Platform,Dematic Ltd.,"— Waterloo, ON","Estimated: $121,016 - $153,233 a year"
Senior Benefits Program Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $97,025 - $122,855 a year"
Technical Accounting Manager,opentext,"— Waterloo, ON","Estimated: $84,555 - $107,065 a year"
Software Engineer - Remote (Canada),TeamViewer,"— Kitchener, ON","Estimated: $96,886 - $122,679 a year"
Java Developer,Info-Ways,"— Waterloo, ON","Estimated: $71,289 - $90,268 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $95,756 - $121,248 a year"
Solutions Developer,Challenger Motor Freight Inc,"— Cambridge, ON","Estimated: $69,588 - $88,114 a year"
"Sr. Manager, Renewals",opentext,"— Waterloo, ON","Estimated: $79,929 - $101,208 a year"
Lead Systems Analyst - HR systems,opentext,"— Waterloo, ON","Estimated: $85,416 - $108,155 a year"
Account Development Executive,Open Text Corporation,"— Waterloo, ON","Estimated: $86,648 - $109,716 a year"
"Associate Director, Development",Wilfrid Laurier University,"— Waterloo, ON","$79,503 - $93,000 a year"
Sr. Site Reliability Administrator,Open Text Corporation,"— Waterloo, ON","Estimated: $97,291 - $123,192 a year"
"Manager, Financial Controllership",opentext,"— Waterloo, ON","Estimated: $91,168 - $115,440 a year"
Sr. Sales Operations Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $59,510 - $75,353 a year"
Master Data Management - Data/Process Analyst,Open Text Corporation,"— Waterloo, ON","Estimated: $86,934 - $110,077 a year"
Perception Team Lead - Localization and Mapping,OTTO Motors by Rockwell Automation,"— Kitchener, ON","Estimated: $96,237 - $121,857 a year"
Oracle Application Developer,Stantec,"— Waterloo, ON","Estimated: $94,215 - $119,297 a year"
Software Manager Engineering,Manulife,"— Waterloo, ON","Estimated: $88,645 - $112,244 a year"
Sr. Systems Analyst - IAM,Open Text Corporation,"— Waterloo, ON","Estimated: $73,009 - $92,446 a year"
"Manager, Presales Prisma Cloud Solutions Architect - Enterprise",Palo Alto Networks,"— Waterloo, ON",N/A
Sr. Revenue Operations Analyst,opentext,"— Waterloo, ON","Estimated: $64,088 - $81,150 a year"
Sr. Program Manager (Contracts),opentext,"— Waterloo, ON","Estimated: $69,487 - $87,986 a year"
Senior Programmer (Recreation) - Temporary Full-Time,St. Joseph’s,"— Guelph, ON","Estimated: $48,746 - $61,723 a year"
Sr. Product Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $110,674 - $140,139 a year"
Sr. Environmental Facilities Program Manager,Open Text Corporation,"— Waterloo, ON","Estimated: $111,585 - $141,292 a year"
"Vice President, Global Real Estate and Facilities",Open Text Corporation,"— Waterloo, ON","Estimated: $97,770 - $123,798 a year"
"VP, Enterprise Architecture",opentext,"— Waterloo, ON","Estimated: $81,059 - $102,639 a year"
Senior Drupal Developer,Surex,— Ontario,"Estimated: $72,311 - $91,562 a year"
Project Developer - Renewable,Infinitek,— Ontario,"$110,000 - $150,000 a year"
Senior Full Stack Developer,SE Health,— Ontario,"Estimated: $91,736 - $116,159 a year"
"Principal Software Engineer, New Initiatives - Remote",Dropbox,"— Kitchener, ON","Estimated: $109,591 - $138,767 a year"
"Manager, Revenue Operations",opentext,"— Waterloo, ON","Estimated: $76,157 - $96,432 a year"
Senior Software Researcher,Open Text Corporation,"— Waterloo, ON","Estimated: $82,528 - $104,499 a year"
Innovation Architect,Open Text Corporation,"— Waterloo, ON","Estimated: $71,719 - $90,812 a year"
Senior Developer (Guidewire) (Evergreen),Saskatchewan Government Insurance,— Ontario,"Estimated: $86,516 - $109,549 a year"
